Award ID,Action Date,Amount,Type,Recipient,Description
80JSC024FA083,2025-01-24,-1384035.00,BPA CALL,Booz Allen Hamilton Inc,Termination for convenience agreement - speacii - task order 84 - NASA odeo deia data analytics and assessment
80GSFC23CA001,2026-04-15,-986502.82,DEFINITIVE CONTRACT,The Trustees of Columbia University in the City of New York,Terminate for convenience notice issued under the the socioeconomic data and applications distributed active archive center (SDAAC)for smd directorate.
80NSSC21M0005,2025-07-22,-839920.81,COOPERATIVE AGREEMENT (B),Oklahoma State University,Termination for convenience agreement  - Science activation program integration/ Science engagement & partnerships division for support for Science Mission Directorate (SMD)
80GSFC23CA001,2025-05-28,-742496.85,DEFINITIVE CONTRACT,The Trustees of Columbia University in the City of New York,Terminate for convenience notice issued under the the socioeconomic data and applications distributed active archive center (SDAAC)for smd directorate.
80NSSC21M0003,2025-08-27,-553617.77,COOPERATIVE AGREEMENT (B),Universities Space Research Association,Termination for convenience agreement  - Science activation program integration/ Science engagement & partnerships division for support for Science Mission Directorate (SMD)
80NM0018F0566,2025-08-12,-551349.26,DELIVERY ORDER,California Institute of Technology,Stop work notice issued with notification Of intent to terminate for convenience - office Of Chief Technologist (OCT) strategic integration for smd directorate
80NSSC24K0892,2025-08-14,-529129.00,PROJECT GRANT (B),George Mason University,Termination for convenience agreement  - interdisciplinary research in Earth sciences support for science mission directorate (SMD/ESD)
80NSSC24K0178,2025-08-12,-400605.72,PROJECT GRANT (B),Brown University,Termination for convenience agreement - interdisciplinary research in Earth sciences for science mission directorate (SMD/ESD)
80NSSC24K0176,2025-08-12,-373255.31,PROJECT GRANT (B),Virginia Polytechnic Institute & State University,Termination for convenience agreement - interdisciplinary research in Earth science support for science mission directorate (SMD/ESD)
80NSSC25K7036,2026-04-30,-248049.00,PROJECT GRANT (B),University of Richmond,Termination for convenience agreement - building capacity for resiliency  education  and environmental justice across the changing indigenous landscapes of virginia - support for smd directorate
80NSSC25K7034,2025-08-15,-242615.17,PROJECT GRANT (B),University of Oklahoma,Termination for convenience agreement - 23-eej23-0046  building co-design and co-learning digital twins against floods on tribal lands in support of indigenous communities
80NSSC25PA845,2025-04-08,-220565.99,PURCHASE ORDER,Sinequa Corp,Termination for convenience agreement - sinequa customer success engineers
80NSSC25K7032,2025-09-25,-209014.09,PROJECT GRANT (B),Emory University,Termination for convenience agreement - advancing environmental justice in atlanta through gis-enabled community engagement - support for smd directorate
80NSSC24M0193,2025-08-12,-177915.07,COOPERATIVE AGREEMENT (B),President and Fellows of Harvard College,Termination for convenience agreement - NASA open innovation research -support for stmd directorate
80NSSC25FA034,2025-03-10,-174236.00,DELIVERY ORDER,"Techpride, Inc.","Termination for convenience agreement - consulting services to facilitate program alignment to long-term strategic vision, organizational development, and skill building"
80NSSC24K0520,2025-08-15,-170395.18,PROJECT GRANT (B),Natural Areas Conservancy Inc,Termination for convenience agreement - interdisciplinary research in Earth sciences for support for science mission directorate (SMD/ESD)
80NSSC24K1193,2025-09-25,-164732.25,PROJECT GRANT (B),Cornell University,Termination for convenience agreement  - topical workshops  symposiums  and conferences  science mission directorate (smd/planetary)
80LARC24F0039,2025-04-15,-162533.00,DELIVERY ORDER,The Aerospace Corporation,Termination for convenience agreement - NASA engineering and safety center'S (NESC) team to guise future human-rated spacecraft providers on designing and verifying a spacecraft fire system.
80NSSC24K0113,2026-05-12,-149998.00,PROJECT GRANT (B),University of Arkansas System,Termination for convenience agreement - here to observe uab support for smd/esd
80NSSC24K0115,2025-09-25,-149900.00,PROJECT GRANT (B),Virginia State University,Termination for convenience agreement - here to observe support for science mission directorate (SMD/ESD)
80NSSC23FA528,2025-04-23,-136672.81,DELIVERY ORDER,Ibex It Business Experts LLC,"Stop work notice issued with notification of intent to terminate for convenience - nehcss - ibex it business experts, LLC task order 80nssc23fa528 organization development support services"
80HQTR23FA044,2025-02-27,-136103.40,DELIVERY ORDER,"Chenega Global Protection, LLC",Termination for convenience agreement- Earth Information Center (EIC) support for NASA office of protective services
